CUSTOM BLOCK,FULL CASE CARTONS,FULL CASE EACHES,REPACK CARTONS,REPACK EACHES,TOTAL EACHES,STOCKING TIME (HRS)
AISLE UNKNOWN,0,0,4,33,33,0.2
CUSTOM BLOCK UNKNOWN,0,0,4,53,53,0.2
NOP (NON-A&A),12,139,80,"2,008","2,147",7.8
1 - TOY E1-E5,19,48,1,12,60,0.4
3 - TOYS E6-E13,30,117,0,0,117,0.5
5 - LEGOS E14-E17,21,205,3,13,218,0.6
7 - BOYS ACTION E18-E22,21,102,0,0,102,0.4
10 - BACKWALL GAMES E42,12,55,0,0,55,0.2
13 - ELEC,62,145,18,489,634,3.8
14 - ENTERTAINMENT,3,8,5,67,75,0.2
21 - FABRIC SOFTNER/BLEACH A47&A50,21,104,0,0,104,0.4
22 - PAPER TOWELS/KLEENEX/PLATES G4-6 G47,17,180,0,0,180,0.5
23 - TOILET PAPER,12,148,0,0,148,0.4
25 - LAUNDRY/INSECTICIDE G1/A48-4⁹,24,114,0,0,114,0.5
26 - LITTER,6,9,0,0,9,0.1
28 - DOG FOOD/TREATS/TOYS,19,62,1,31,93,0.5
29 - CAT FOOD/PET CARE A38-39,16,65,5,87,152,0.7
31 - BABY FOOD/FORMULA,12,69,1,38,107,0.4
32 - DIAPERS/WIPES,59,72,3,83,155,1.3
"33 - BABY O3, O4, O13-O19",17,21,0,0,21,0.3
34 - BED/MONITOR/NURSING/CUPS/BOTTLE,24,62,4,148,210,0.9
35 - SMALL PAPER G6-7,14,120,0,0,120,0.4
36 - FLOOR/LAUNDRY CARE ADD.,23,135,0,0,135,0.5
37 - HOUSEHOLD CLEANING,31,220,0,0,220,0.7
38 - AIR FRESHENER/ SWIFFER/WIPES A40-42,44,220,0,0,220,0.9
41 - COSMETICS,13,162,7,361,523,1.0
42 - WOMENS CARE/SOAP A27-28,34,264,3,123,387,1.1
43 - FACE/TRAVEL/HAIR ACC,30,595,9,357,952,1.8
44 - HAIR CARE,34,193,5,156,349,1.1
45 - FEMININE CARE,25,114,5,184,298,0.9
46 - OTC/PHARMACY,48,344,19,772,"1,116",2.9
47 - MENS CARE/ORAL CARE,72,417,2,80,497,1.6
49 - WATER/BEVERAGE,99,439,0,0,439,2.0
50 - PB&J/PASTA/CONDIMENTS,37,354,0,0,354,1.0
51 - SPICES/MEXICAN,17,200,1,72,272,0.7
52 - CANNED GOODS/BAKING,55,548,2,78,626,1.7
53 - HOT CEREAL/BREAKFAST,15,150,0,0,150,0.4
54 - COFFEE/TEA/TRAIL MIX,12,68,0,0,68,0.3
55 - CANDY/GUM/MINTS,6,28,0,0,28,0.1
56 - COOKIES/CRACKERS/LUNCHBOX,27,167,0,0,167,0.6
57 - CHIPS,9,102,0,0,102,0.3
58 - BEVERAGE/JUICE,24,151,0,0,151,0.6
59 - BATH C1-C12/C49,23,85,30,350,435,1.9
60 - RUGS C13-C15,13,45,0,0,45,0.3
61 - BATH DECOR,16,68,1,13,81,0.4
62 - B VIGNETTE B22-33,12,47,0,0,47,0.3
63 - HEARTH & HAND C22-26+C46,14,31,0,0,31,0.3
64 -  LAMP/FANS C27-38,82,150,13,127,277,2.0
65 - KITCHEN PLUG,31,58,0,0,58,0.5
66 - LARGE APPLIANCE TRASHCAN CLOCKS,32,62,0,0,62,0.5
67 - BED'S,22,45,0,0,45,0.4
68 - PILLOWS,7,26,1,8,34,0.2
69 - KIDS BEDDING,17,36,0,0,36,0.3
70 - FURNITURE,27,42,0,0,42,0.6
71 - BASKETS STORAGE,12,47,0,0,47,0.3
72 - DECO STORAGE,10,26,0,0,26,0.2
73 - CLOSET STORAGE,6,32,0,0,32,0.1
77 - WOMEN/MENS FOLDING & SHOES,6,42,33,577,619,2.2
78 - INTIMATES/PERFORMANCE,3,20,7,119,139,0.6
79 - BOY/GIRL/NIT,9,90,18,603,693,2.2
80 - HANGING,1,6,0,0,6,0.0
82 - KITCHEN,41,431,21,348,779,2.5
83 - KITCHEN/HOUSEWARES REPACKS,32,86,12,168,254,1.2
85 - SCHOOL & OFFICE,43,289,29,"1,459","1,748",4.6
86 - SPORTING GOODS 1,135,537,17,326,863,3.9
87 - SPORTING GOODS 2 E35-E41,53,141,5,81,222,1.3
88 - AUTO/LUGGAGE,57,455,2,47,502,1.5
89 - BULLSEYE PLAYGROUND,21,426,0,0,426,0.7
90 - CL/FA,4,104,0,0,104,0.1
91 - MINI SEASONAL,43,198,4,41,239,1.1
92 - F65-F66 GRILLING & FIREBOWLS,11,42,0,0,42,0.2
93 - F67-F70 SOIL AND PLANTERS,49,74,1,6,80,0.8
94 - F71-F72 SEED & GROW KITS,4,8,0,0,8,0.1
98 - F79-80 STACK FLATT AND LAWN/REPELLENTS,8,30,0,0,30,0.1
99 - G43 BEACH,12,60,0,0,60,0.2
Total,"1,932","10,555",376,"9,518","20,073",72.2


Exported at: 06/10/2024 6:11:53 am
Card ID: 1344598
Card Name: Replenishment Summary - Sales Floor 

Are all rows displayed: yes
Number of rows: 75
Time Period: Last 45 Days
Data Time Window:
Begin: 2024-04-26
End: 2024-06-10T11:11:46


Filters: 

Name: co_loc_frmt_shrt_n
Type: in
Pattern: T2660

Name: select_trailer
Type: in
Pattern: T2660 - 2024-05-30 - RDC - BOL 03254282660 - Trailer #4597076MATU,T2660 - 2024-05-30 - RDC - BOL 03255272660 - Trailer #4539892MATU,T2660 - 2024-05-30 - RDC - BOL 03255277660 - Trailer #4539892MATU

